uid,label,date,points_std,covering_std,num_of_points,covering,entropy,turning_radius,place_dif,weekdays_weekends,ratio_day,ratio_night
60135645,1,32,2.435457167,1.74133801,6.4375,3.5,4.842458664,7.149662546,0.3171,-1.632850242,0.08676207513416816,0.08676207513416816
60135658,0,28,5.277861318999999,1.329359157,16.67857143,3.714285714,4.721806191000001,7.1389174010000005,0.10099999999999999,6.2063492060000005,0.6653527788726843,0.4528301886792453
60135659,1,32,5.408699682999999,2.2106778990000002,18.3125,6.375,4.915645647,7.1388275089999995,0.0573,17.14782609,0.35932872655478776,0.17940199335548174
60135661,0,32,3.166737407,1.3436679459999998,10.6875,4.53125,4.938216882,7.147367827999999,0.1687,-19.751552800000002,0.3927717246877491,0.4722222222222222
60135683,1,32,3.702113607,1.16700264,5.6875,2.84375,4.882372629,7.158124422999999,0.0966,-2.2657004830000003,0.30920916787115427,0.3104154476301931
60135688,0,32,4.202533798,3.311605935,28.375,13.46875,4.957329197,7.146106372999999,0.0111,13.05797101,0.3862291554599247,0.6615698267074414
60135719,1,24,10.33041099,1.7398775569999998,20.25,4.375,4.473783023999999,7.125629909,0.4607,8.055555556,0.2921507509209408,0.2921507509209408
60135748,1,30,3.977089561,2.38794867,5.1,2.766666667,4.433488873,7.138803792,0.4933,-18.49206349,0.22856637793883683,0.22856637793883683
60135751,0,32,1.934147724,0.42121177,30.53125,2.125,4.973132878,7.14447794,0.6835,11.76811594,0.29718640093786636,0.29718640093786636
60135753,0,31,4.721718295,1.057487385,20.19354839,3.580645161,4.895484115,7.13892561,0.2787,17.73636364,0.3267646583750606,0.3267646583750606
60135754,0,31,8.067990649,1.165821506,23.32258065,4.677419355,4.908627268,7.140097712999999,0.133,13.13636364,0.31195028680688336,0.4538492543329303
60135756,1,32,3.691615391,1.135923668,6.71875,2.5,4.861077827,7.14485958,0.5286,-4.193236715,0.4128787878787879,0.4128787878787879
60135770,1,32,5.849937965,2.887507855,22.3125,6.28125,4.833711755,7.148140957000001,0.0752,10.91304348,0.3080872913992298,0.2918395573997234
60135771,0,31,12.00609164,2.43275144,14.70967742,3.580645161,4.627221218,7.150341362000001,0.2141,-7.3623188410000004,0.3142272262026612,0.3142272262026612
60135777,0,30,8.527777466,4.387678673,28.63333333,10.7,4.789026842,7.144174345,0.0155,27.40909091,0.40980966325036605,0.3266144083613289
60135801,0,31,5.464843651,1.98921825,16.74193548,6.096774194,4.880708093,7.147325841000001,0.0021,3.3838383839999997,0.3913255360623782,0.26757532281205165
60135826,1,30,9.30362678,3.056743064,18.16666667,5.966666667,4.718872473,7.148540665,0.0187,2.3181818180000002,0.369693148381673,0.20900523560209425
60135838,0,31,6.49201329,2.8059077460000004,22.70967742,5.161290323,4.735948602,7.139750955,0.3745,3.5808080810000003,0.4271095453782922,0.4271095453782922
60135859,1,31,4.4203828960000004,1.141589158,6.161290322999999,1.64516129,4.687350225,7.141826188,0.7733,-14.58585859,0.25858290723155586,0.25858290723155586
60135876,0,32,3.31768842,2.7192192310000003,17.65625,5.34375,4.808686304,7.136782773999999,0.5833,-4.695652174,0.20628254661515202,0.20628254661515202
60135920,1,32,3.015417373,1.433681816,13.0625,4.59375,4.937658432,7.1515391589999995,0.2468,-13.49275362,0.47322540473225405,0.6345666497719209
60135958,0,25,5.1559027660000005,2.8734416069999997,11.6,6.56,4.503349431,7.1392598529999995,0.1413,-2.055555556,0.346703434444723,0.346703434444723
60135993,0,9,1.922093766,1.4142135619999998,2.777777778,2.0,2.88551303,7.144942597000001,0.087,-8.533333333,0.2655110967114855,0.17544459644322846
60135995,1,10,0.421637021,0.421637021,1.2,1.2,3.251629167,7.147753005,0.0,-12.301587300000001,0.6141732283464567,0.05652173913043478
60136002,0,10,0.316227766,0.316227766,1.1,1.1,3.277613437,7.148047772000001,0.0,-1.634920635,0.42321724709784414,0.24407162445555736
60136039,0,25,11.35781669,2.764657905,21.6,5.68,4.464741714,7.148763763,0.3082,-5.238888889,0.28970964987190434,0.28970964987190434
60136048,0,16,10.93293953,2.82547931,16.0625,5.875,3.8205029169999998,7.14277961,0.0625,11.66666667,0.2874566094380336,0.4024306351754185
60136073,0,29,5.864017352,1.843641716,12.62068966,3.551724138,4.668962058,7.140070595,0.0444,7.047619048,0.4483454398708636,0.23946037099494097
60136135,0,18,5.752237416,1.696786659,11.5,3.0555555560000003,3.977716814,7.151983433,0.5389,9.194444444,0.3771564544913742,0.3771564544913742
60136138,0,31,8.270819283,2.067152215,5.161290323,2.1612903230000002,4.4612676460000005,7.134112393,0.4015,-25.35353535,0.2792538671519563,0.2792538671519563
60136157,1,32,3.5898602719999997,1.79605302,13.625,6.0,4.937774753999999,7.133607323,0.0216,-4.222222222,0.7698744769874477,0.7698744769874477
60136164,1,32,4.870914334,2.513672291,10.625,4.0625,4.738150516,7.120742797,0.3877,3.256038647,0.3934449489216799,0.3934449489216799
60136165,0,32,7.6616319960000006,2.096223563,31.40625,6.84375,4.9346733469999995,7.124725367999999,0.0376,17.51207729,0.463768115942029,0.2425400291120815
60136167,0,32,5.008058023,3.328760304,29.625,11.375,4.9260942619999994,7.143960658999999,0.1973,13.05797101,0.46774193548387094,0.46774193548387094
60136174,0,32,8.335154371,2.166459874,15.40625,4.375,4.814349076,7.128695763,0.231,5.946859902999999,0.4170676478913105,0.3072656683305602
60136178,1,31,6.692476919,2.4096579869999997,11.4516129,5.161290323,4.802415701,7.139074416000001,0.0031,8.525252525,0.2009873060648801,0.39060205580029367
60136183,0,26,5.114835135,2.228486896,19.80769231,3.615384615,4.453972396,7.1337934999999995,0.3426,-0.920634921,0.628482972136223,0.628482972136223
60136187,0,32,3.166737407,2.326001345,33.3125,2.40625,4.527651437,7.134094632,0.8598,23.02415459,0.4430246542393265,0.4430246542393265
60136188,1,18,4.0,0.32338083300000003,6.666666667,1.888888889,4.146286371,7.131408678,0.094,-6.833333333,0.24277456647398843,0.22232916265640038
